category,title,context,question,answer
學術處計畫申請案-第三類型計畫,核心設施及新創儀器計畫,"核心設施及新創儀器計畫主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。

本計畫的申請應包括以下文件：
1)研究計畫書。
2)個人履歷資料和近年主要著作目錄。

補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。

核心設施及新創儀器計畫將有助於中研院提高其研究能力和水準，並加強與國際接軌。此外，透過提供先進的研究設施和儀器，將有助於促進國內科技創新和經濟發展。",什麼是中研院重點研究方向？,文字說明中並未提到中研院的重點研究方向是什麼。
學術處計畫申請案-第三類型計畫,核心設施及新創儀器計畫,"核心設施及新創儀器計畫主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。

本計畫的申請應包括以下文件：
1)研究計畫書。
2)個人履歷資料和近年主要著作目錄。

補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。

核心設施及新創儀器計畫將有助於中研院提高其研究能力和水準，並加強與國際接軌。此外，透過提供先進的研究設施和儀器，將有助於促進國內科技創新和經濟發展。",申請核心設施及新創儀器計畫需要準備哪些文件？,申請核心設施及新創儀器計畫需要準備研究計畫書和個人履歷資料及近年主要著作目錄。
學術處計畫申請案-第三類型計畫,核心設施及新創儀器計畫,"核心設施及新創儀器計畫主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。

本計畫的申請應包括以下文件：
1)研究計畫書。
2)個人履歷資料和近年主要著作目錄。

補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。

核心設施及新創儀器計畫將有助於中研院提高其研究能力和水準，並加強與國際接軌。此外，透過提供先進的研究設施和儀器，將有助於促進國內科技創新和經濟發展。",核心設施及新創儀器計畫的補助對象包括哪些研究設施或儀器？,核心設施及新創儀器計畫的補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。
學術處計畫申請案-第三類型計畫,核心設施及新創儀器計畫,"核心設施及新創儀器計畫主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。

本計畫的申請應包括以下文件：
1)研究計畫書。
2)個人履歷資料和近年主要著作目錄。

補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。

核心設施及新創儀器計畫將有助於中研院提高其研究能力和水準，並加強與國際接軌。此外，透過提供先進的研究設施和儀器，將有助於促進國內科技創新和經濟發展。",核心設施及新創儀器計畫的主要目標是什麼？,核心設施及新創儀器計畫的主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。
學術處計畫申請案-第三類型計畫,核心設施及新創儀器計畫,"核心設施及新創儀器計畫主要目標是提升中研院的研究能力和競爭力，通過充實和有效運用現有的研究資源，提高核心設施的服務品質和使用效能，並鼓勵研發新創研究儀器。

本計畫的申請應包括以下文件：
1)研究計畫書。
2)個人履歷資料和近年主要著作目錄。

補助對象包括符合中研院重點研究方向的研究設施或儀器、中研院多單位或跨領域研究有共同之需求、需專業人員協助進行實驗的研究設施或儀器，以及用於特殊研究技術開發或提昇設備特殊功能的研究設施或儀器。

核心設施及新創儀器計畫將有助於中研院提高其研究能力和水準，並加強與國際接軌。此外，透過提供先進的研究設施和儀器，將有助於促進國內科技創新和經濟發展。",核心設施及新創儀器計畫能為中研院帶來哪些益處？,核心設施及新創儀器計畫能提升中研院的研究能力和競爭力，加強與國際接軌，並提高核心設施的服務品質和使用效能。此外，計畫還能鼓勵研發新創研究儀器，促進國內科技創新和經濟發展。
核心設施及新創儀器計畫,核心設施建置型計畫,"核心設施建置型計畫的目標是建立新的核心設施並將其開放給全院使用。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",這個計畫可以申請的對象是誰？,申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。
核心設施及新創儀器計畫,核心設施建置型計畫,"核心設施建置型計畫的目標是建立新的核心設施並將其開放給全院使用。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",這個計畫的期限是多久？,這個計畫的期限是1到5年。
核心設施及新創儀器計畫,核心設施建置型計畫,"核心設施建置型計畫的目標是建立新的核心設施並將其開放給全院使用。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",申請人需要在申請書中提供哪些資訊？,申請人需要在申請書中提供所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人也需要提供一個預估的時間表，說明計畫實施的步驟和進度，以及評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。
核心設施及新創儀器計畫,核心設施建置型計畫,"核心設施建置型計畫的目標是建立新的核心設施並將其開放給全院使用。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",申請人需要提供哪些文件來評估計畫進度和成果？ ,申請人需要提供一個評估計畫進度和成果的方法和標準。
核心設施及新創儀器計畫,核心設施建置型計畫,"核心設施建置型計畫的目標是建立新的核心設施並將其開放給全院使用。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",申請人需要提交下一期計畫的申請書時限是什麼時候？,在計畫期滿前的最後1年。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",核心設施維運型計畫的目標是什麼？,核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",哪些人員可以申請本計畫？,中研院專任助研究員及以上或專任研究助技師及以上的人員。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",本計畫的計畫期限為多久？,本計畫的計畫期限為1到5年。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",在計畫期滿前的最後一年，申請人可以做什麼？,在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",申請人需要在申請書中提供哪些計畫執行的詳細內容？,"申請人需要在申請書中提供以下計畫執行的詳細內容：
1. 可提供的儀器設備、服務內容和收費價格
2. 使用和預約設備的程序和規則
3. 有關使用共用設施的預期效益和貢獻的計畫
4. 共用設施的現有使用情況和運作狀況的描述
5. 評估計畫進度和成果的方法和標準
6. 預期的貢獻和應用價值
7. 共用設施的擴展和更新計畫"
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",申請人需要提供哪些有關使用共用設施的預期效益和貢獻的計畫？,申請人需要提供有關使用共用設施的預期效益和貢獻的計畫，包括描述共用設施的現有使用情況和運作狀況。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",申請人需要提供哪些評估計畫進度和成果的方法和標準？,申請人需要提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。
核心設施及新創儀器計畫,核心設施維運型計畫,"核心設施維運型計畫的目標是申請人將各所已設立之共用研究設施提供服務給全院同仁。申請人必須是中研院專任助研究員及以上或專任研究助技師及以上的人員。

本計畫的計畫期限為1到5年。在計畫期滿前的最後1年，申請人可以提交下一期計畫的申請書，以延續計畫的進行。

申請人應在申請書中提供有關計畫執行的詳細計畫，包括可提供的儀器設備、服務內容和收費價格，以及使用和預約設備的程序和規則。申請人還應提供一個有關使用共用設施的預期效益和貢獻的計畫，並描述共用設施的現有使用情況和運作狀況。

申請人應該提供評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。申請人還應討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。",申請人需要討論哪些內容，以確保共用設施的擴展和更新符合研究需要和技術發展？,申請人需要討論共用設施的擴展和更新，以確保其符合研究需要和技術發展。
核心設施及新創儀器計畫,新創儀器開發型計畫,"新創儀器開發型計畫是一個研發新的研究儀器或設施，並將其設置為核心設施提供全院同仁使用的計畫。申請人必須為中研院的專任助研究員或專任研究助技師以上職稱的人員。

本計畫為1-5年期計畫，並且在計畫期滿前1年，申請人可以提交下一期計畫的申請書。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",這個計畫適用於哪些職稱的中研院人員申請？,中研院的專任助研究員或專任研究助技師以上職稱的人員可以申請。
