category,title,context,question,answer
核心設施及新創儀器計畫,新創儀器開發型計畫,"新創儀器開發型計畫是一個研發新的研究儀器或設施，並將其設置為核心設施提供全院同仁使用的計畫。申請人必須為中研院的專任助研究員或專任研究助技師以上職稱的人員。

本計畫為1-5年期計畫，並且在計畫期滿前1年，申請人可以提交下一期計畫的申請書。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",新創儀器開發型計畫最長可以持續多久？申請人可以申請下一期計畫的時間點是在哪裡？,新創儀器開發型計畫最長可以持續5年；申請人可以在計畫期滿前1年提交下一期計畫的申請書。
核心設施及新創儀器計畫,新創儀器開發型計畫,"新創儀器開發型計畫是一個研發新的研究儀器或設施，並將其設置為核心設施提供全院同仁使用的計畫。申請人必須為中研院的專任助研究員或專任研究助技師以上職稱的人員。

本計畫為1-5年期計畫，並且在計畫期滿前1年，申請人可以提交下一期計畫的申請書。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",申請人需要在申請書中提供哪些資訊，包括計畫目標、方法和預期成果等？,"申請人需要在申請書中提供以下資訊：
1. 所需的經費、設備、人員和其他資源
2. 詳細描述計畫的目標、方法和預期成果
3. 一個預估的時間表，說明計畫實施的步驟和進度
4. 提供一個評估計畫進度和成果的方法和標準
5. 預期的貢獻和應用價值。"
核心設施及新創儀器計畫,新創儀器開發型計畫,"新創儀器開發型計畫是一個研發新的研究儀器或設施，並將其設置為核心設施提供全院同仁使用的計畫。申請人必須為中研院的專任助研究員或專任研究助技師以上職稱的人員。

本計畫為1-5年期計畫，並且在計畫期滿前1年，申請人可以提交下一期計畫的申請書。

申請人應該在申請書中說明所需的經費、設備、人員和其他資源，並詳細描述計畫的目標、方法和預期成果。申請人應該提供一個預估的時間表，說明計畫實施的步驟和進度。申請人還需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。",申請人需要提供哪些評估計畫進度和成果的方式和標準？計畫的貢獻和應用價值是什麼？,"申請人需要提供一個評估計畫進度和成果的方法和標準，以及預期的貢獻和應用價值。

計畫的貢獻和應用價值指的是該計畫所能創造的新科技、新知識、新方法或新產品，以及其對社會或產業的影響和貢獻。"
核心設施及新創儀器計畫,全院性核心設施,"中央研究院的各研究所和研究中心都配有各種共用儀器設施，這些儀器設施專門為特定的研究主題而設立，由專人管理、操作和維護。這些共用儀器設施是為了滿足所屬研究單位的研究需求而建立的。

中央研究院還設立了全院性核心設施，這些共用設施是指向中央研究院全體同仁開放的共用儀器設施。由於這些設施具有服務性質，因此可以向使用者收取服務費用以回收維護成本。同時，它們還接受中央研究院提供的儀器設備、專職人力和公共事務維護等經費補助。

不同主題的全院性核心設施不僅提供最新的儀器設備，還有專職人員可以協助設計實驗、進行樣品檢測和實驗資料分析。

各個全院性核心設施專精於不同的技術領域，可以提供以下服務：
1)科學實驗研究所需的科學儀器
2)用於產品研發的尖端技術
3)儀器操作人員培訓和專業技術諮詢

全院性核心設施都由專職人員管理，主要為中央研究院的研究人員提供服務。當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。如果您有興趣使用全院性核心設施，請隨時聯繫設施管理人員。有關各個設施的詳細說明，請參見https://daais.sinica.edu.tw/pages/519。",中央研究院全院性核心設施是什麼？ ,中央研究院全院性核心設施是指向中央研究院全體同仁開放的共用儀器設施，提供最新的儀器設備、專職人員協助設計實驗、進行樣品檢測和實驗資料分析，專精於不同的技術領域，可以提供科學實驗研究所需的科學儀器、用於產品研發的尖端技術和儀器操作人員培訓和專業技術諮詢等服務。
核心設施及新創儀器計畫,全院性核心設施,"中央研究院的各研究所和研究中心都配有各種共用儀器設施，這些儀器設施專門為特定的研究主題而設立，由專人管理、操作和維護。這些共用儀器設施是為了滿足所屬研究單位的研究需求而建立的。

中央研究院還設立了全院性核心設施，這些共用設施是指向中央研究院全體同仁開放的共用儀器設施。由於這些設施具有服務性質，因此可以向使用者收取服務費用以回收維護成本。同時，它們還接受中央研究院提供的儀器設備、專職人力和公共事務維護等經費補助。

不同主題的全院性核心設施不僅提供最新的儀器設備，還有專職人員可以協助設計實驗、進行樣品檢測和實驗資料分析。

各個全院性核心設施專精於不同的技術領域，可以提供以下服務：
1)科學實驗研究所需的科學儀器
2)用於產品研發的尖端技術
3)儀器操作人員培訓和專業技術諮詢

全院性核心設施都由專職人員管理，主要為中央研究院的研究人員提供服務。當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。如果您有興趣使用全院性核心設施，請隨時聯繫設施管理人員。有關各個設施的詳細說明，請參見https://daais.sinica.edu.tw/pages/519。",全院性核心設施提供哪些服務？ ,全院性核心設施提供科學實驗研究所需的科學儀器、用於產品研發的尖端技術、儀器操作人員培訓和專業技術諮詢等服務。
核心設施及新創儀器計畫,全院性核心設施,"中央研究院的各研究所和研究中心都配有各種共用儀器設施，這些儀器設施專門為特定的研究主題而設立，由專人管理、操作和維護。這些共用儀器設施是為了滿足所屬研究單位的研究需求而建立的。

中央研究院還設立了全院性核心設施，這些共用設施是指向中央研究院全體同仁開放的共用儀器設施。由於這些設施具有服務性質，因此可以向使用者收取服務費用以回收維護成本。同時，它們還接受中央研究院提供的儀器設備、專職人力和公共事務維護等經費補助。

不同主題的全院性核心設施不僅提供最新的儀器設備，還有專職人員可以協助設計實驗、進行樣品檢測和實驗資料分析。

各個全院性核心設施專精於不同的技術領域，可以提供以下服務：
1)科學實驗研究所需的科學儀器
2)用於產品研發的尖端技術
3)儀器操作人員培訓和專業技術諮詢

全院性核心設施都由專職人員管理，主要為中央研究院的研究人員提供服務。當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。如果您有興趣使用全院性核心設施，請隨時聯繫設施管理人員。有關各個設施的詳細說明，請參見https://daais.sinica.edu.tw/pages/519。",全院性核心設施可以向誰提供服務？ ,全院性核心設施主要為中央研究院的研究人員提供服務，當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。
核心設施及新創儀器計畫,全院性核心設施,"中央研究院的各研究所和研究中心都配有各種共用儀器設施，這些儀器設施專門為特定的研究主題而設立，由專人管理、操作和維護。這些共用儀器設施是為了滿足所屬研究單位的研究需求而建立的。

中央研究院還設立了全院性核心設施，這些共用設施是指向中央研究院全體同仁開放的共用儀器設施。由於這些設施具有服務性質，因此可以向使用者收取服務費用以回收維護成本。同時，它們還接受中央研究院提供的儀器設備、專職人力和公共事務維護等經費補助。

不同主題的全院性核心設施不僅提供最新的儀器設備，還有專職人員可以協助設計實驗、進行樣品檢測和實驗資料分析。

各個全院性核心設施專精於不同的技術領域，可以提供以下服務：
1)科學實驗研究所需的科學儀器
2)用於產品研發的尖端技術
3)儀器操作人員培訓和專業技術諮詢

全院性核心設施都由專職人員管理，主要為中央研究院的研究人員提供服務。當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。如果您有興趣使用全院性核心設施，請隨時聯繫設施管理人員。有關各個設施的詳細說明，請參見https://daais.sinica.edu.tw/pages/519。",如何聯繫全院性核心設施的管理人員？ ,可以隨時聯繫設施管理人員。
核心設施及新創儀器計畫,全院性核心設施,"中央研究院的各研究所和研究中心都配有各種共用儀器設施，這些儀器設施專門為特定的研究主題而設立，由專人管理、操作和維護。這些共用儀器設施是為了滿足所屬研究單位的研究需求而建立的。

中央研究院還設立了全院性核心設施，這些共用設施是指向中央研究院全體同仁開放的共用儀器設施。由於這些設施具有服務性質，因此可以向使用者收取服務費用以回收維護成本。同時，它們還接受中央研究院提供的儀器設備、專職人力和公共事務維護等經費補助。

不同主題的全院性核心設施不僅提供最新的儀器設備，還有專職人員可以協助設計實驗、進行樣品檢測和實驗資料分析。

各個全院性核心設施專精於不同的技術領域，可以提供以下服務：
1)科學實驗研究所需的科學儀器
2)用於產品研發的尖端技術
3)儀器操作人員培訓和專業技術諮詢

全院性核心設施都由專職人員管理，主要為中央研究院的研究人員提供服務。當設施的各項服務還有餘裕時，部分設施也會向院外學術機構提供服務。如果您有興趣使用全院性核心設施，請隨時聯繫設施管理人員。有關各個設施的詳細說明，請參見https://daais.sinica.edu.tw/pages/519。",全院性核心設施的詳細說明在哪裡可以找到？,全院性核心設施的詳細說明可以在https://daais.sinica.edu.tw/pages/519 找到。
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",基因轉殖鼠核心設施主要為哪些人提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務？,中研院研究人員、國內友好大學及其他學術研究機構。
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",基因轉殖鼠核心設施已成功建立哪兩種基因編輯技術？ ,"基因轉殖鼠核心設施已成功建立""類轉錄活化因數核酸?""和""常間回文重複序列叢集關聯蛋白""這兩種基因編輯技術。"
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",基因轉殖鼠核心設施提供的主要服務專案有哪些？ ,基因轉殖鼠核心設施提供的主要服務專案包括：原核顯微注射產制基因轉殖或剔除的小鼠、使用TALEN/CRISPR產制基因修飾小鼠、小鼠胚胎幹細胞之基因標的、小鼠胚幹細胞條件式基因剔除、嵌合鼠產製（囊胚顯微注射）、胚胎冷凍、精子冷凍、體外受精、胚胎移植、工具鼠、相關實驗設計諮詢。
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",基因轉殖鼠核心設施的主要設備有哪些？ ,基因轉殖鼠核心設施的主要設備包括基因轉殖器、顯微注射系統、拉針器和鑄針器。
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",基因轉殖鼠核心設施的管理者是誰？ ,該設施的管理者是中研院分子生物研究所蔡青宴研究副技師。
全院性核心設施,基因轉殖鼠核心設施,"1997年成立的基因轉殖鼠核心設施，主要為中研院研究人員、國內友好大學及其他學術研究機構提供生產基因改造模式小鼠、小鼠胚胎冷凍及相關技術服務。

該核心設施已成功建立兩種基因編輯技術，包括“類轉錄活化因數核酸?”和“常間回文重複序列叢集關聯蛋白”，以產製基因改造小鼠。每年不斷導入新研究技術，精進基因編輯實驗，期望縮短生產基因改造小鼠的時間表。

主要服務專案包括：
1)原核顯微注射產制基因轉殖或剔除的小鼠
2)使用TALEN/CRISPR產制基因修飾小鼠
3)小鼠胚胎幹細胞之基因標的
4)小鼠胚幹細胞條件式基因剔除
5)嵌合鼠產製（囊胚顯微注射）
6)胚胎冷凍
7)精子冷凍
8)體外受精
9)胚胎移植
10)工具鼠
11)相關實驗設計諮詢

主要設備包括：
1)基因轉殖器
2)顯微注射系統
3)拉針器
4)鑄針器

該設施位於中研院分子生物研究所5樓，由該研究所蔡青宴研究副技師負責管理。

有關基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式，請參見https://www.imb.sinica.edu.tw/TCF/。",在哪裡可以查看基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式？,可以透過https://www.imb.sinica.edu.tw/TCF/來查看基因轉殖鼠核心設施的使用規則、收費標準及聯繫方式。
